1056338697_4f7d7ce270.jpg#zhm#0 一个穿蓝色衬衫的金发女人似乎要搭车。
1056338697_4f7d7ce270.jpg#zhm#1 一个金发女人正在街上叫计程车。
1056338697_4f7d7ce270.jpg#zhm#2 从背后看，一个女人正在向来往的车辆挥手示意。
1056338697_4f7d7ce270.jpg#zhm#3 一个穿着蓝色抹胸上衣的金发女子在街道边挥着手。
1056338697_4f7d7ce270.jpg#zhm#4 穿着蓝色连衣裙的那个女人正冲着行来的车辆伸出她的手。
106490881_5a2dd9b7bd.jpg#zhm#0 一个穿着蓝色泳裤的男孩在海滩上。
106490881_5a2dd9b7bd.jpg#zhm#1 一个男孩对着相机在沙滩上微笑着。
106490881_5a2dd9b7bd.jpg#zhm#2 一个穿着泳裤的小男孩正张开双臂走在沙滩上。
106490881_5a2dd9b7bd.jpg#zhm#3 孩子们在海滩上玩耍。
106490881_5a2dd9b7bd.jpg#zhm#4 男孩正在一片海的海边玩。
1082379191_ec1e53f996.jpg#zhm#0 一位女士和一个没穿上衣的男士坐在水边。
1082379191_ec1e53f996.jpg#zhm#1 一个男人和一个女人坐在码头上。
1082379191_ec1e53f996.jpg#zhm#2 一个男人和一个女人坐在码头上。
1082379191_ec1e53f996.jpg#zhm#3 一男一女，坐在一个湖边的甲板上。
1082379191_ec1e53f996.jpg#zhm#4 一个没穿上衣的男人和一个女人坐在一个码头。
1084040636_97d9633581.jpg#zhm#0 一只躺在地上，头枕在爪子上的白色狗的特写。
1084040636_97d9633581.jpg#zhm#1 一只大白狗躺在地板上。
1084040636_97d9633581.jpg#zhm#2 一直白色的狗把头躺在地上。
1084040636_97d9633581.jpg#zhm#3 一只白色的狗把它的头躺在地板上，眼睛睁着。
1084040636_97d9633581.jpg#zhm#4 一只白色的狗把它的头放在露台的砖上休息。
1096395242_fc69f0ae5a.jpg#zhm#0 一个拿着玩具枪的男孩。
1096395242_fc69f0ae5a.jpg#zhm#1 一个穿着橙色短裤的小男孩在玩玩具。
1096395242_fc69f0ae5a.jpg#zhm#2 在一个壁炉前面，一个小男孩伸着他的脚并把他的玩具瞄准照相机。
1096395242_fc69f0ae5a.jpg#zhm#3 一个小孩玩着他的新的亮着的玩具。
1096395242_fc69f0ae5a.jpg#zhm#4 拿着玩具昂的男孩用枪指着照相机。
1107246521_d16a476380.jpg#zhm#0 一只黑色的狗跳起去抓一个绳子做的玩具。
1107246521_d16a476380.jpg#zhm#1 一只黑狗正在用捆成球的绳子玩。
1107246521_d16a476380.jpg#zhm#2 一只黑色的狗扑着去抢一个绳子玩具。
1107246521_d16a476380.jpg#zhm#3 一只黑色的狗在追他的绳子玩具。
1107246521_d16a476380.jpg#zhm#4 一只大黑狗正在草地上玩耍。
1119015538_e8e796281e.jpg#zhm#0 一只大耳朵的小狗在草地上奔跑。
1119015538_e8e796281e.jpg#zhm#1 一只俏皮的狗正跑过草地。
1119015538_e8e796281e.jpg#zhm#2 一只小狗在草地上奔跑时竖起了耳朵。
1119015538_e8e796281e.jpg#zhm#3 一只小狗正在穿过草坪。
1119015538_e8e796281e.jpg#zhm#4 这是一只小的米色狗，在一块草地中奔跑。
1122944218_8eb3607403.jpg#zhm#0 一个穿着白色衣服的婴儿举着一个新月旗。
1122944218_8eb3607403.jpg#zhm#1 一个小孩子正拿着一面有着一个月亮和一颗星星的小黑旗。
1122944218_8eb3607403.jpg#zhm#2 一个穿着白色长袍的婴儿挥舞着一个穆斯林国旗。
1122944218_8eb3607403.jpg#zhm#3 一个穿着白衣服的小孩在微笑着，一位女士帮助他挥舞旗子。
1122944218_8eb3607403.jpg#zhm#4 穿着白色外装的宝宝正拿着黑白相间的旗子。
1131800850_89c7ffd477.jpg#zhm#0 下雪时，一只棕色和白色相间的狗站在外面。
1131800850_89c7ffd477.jpg#zhm#1 一只狗正在水边看向一些东西。
1131800850_89c7ffd477.jpg#zhm#2 一只毛茸茸的狗试图通过抖掉皮毛上的水来让它自己变干。
1131800850_89c7ffd477.jpg#zhm#3 一只白棕相间的狗摇摆着它自己来把自己弄干。
1131800850_89c7ffd477.jpg#zhm#4 那只棕白相间的大狗在抖水。
1131932671_c8d17751b3.jpg#zhm#0 一个男孩在床上跳。
1131932671_c8d17751b3.jpg#zhm#1 一个男孩从绿色的床上跳了起来。
1131932671_c8d17751b3.jpg#zhm#2 一个男孩从一张床跳到另一张床。
1131932671_c8d17751b3.jpg#zhm#3 一个小孩正在床上跳。
1131932671_c8d17751b3.jpg#zhm#4 穿蓝色短裤的男孩正在床上蹦。
113678030_87a6a6e42e.jpg#zhm#0 一个滑雪者坐在斜坡上，附近有滑雪的人和玩滑板的人。
113678030_87a6a6e42e.jpg#zhm#1 一个滑雪者在山腰休息。
